first_name,last_name,address,city,state,zip,phone_no,email
samiksha,chaudhari,jalgaon,jalgaon,maharashtra,425001,56982685,samiksha@gmail.com
nikita,arora,mumbai,mumbai,maharashtra,457029,896523895,nikita@gmail.com
aaaradha,attarde,pune,pune,maharashtra,586535,655324895,tushar@gmail.com
mayur,chaudhari,mumbai,mumbai,maharashtra,478653,865445321,mayur@gmail.com
ashwini,mahajan,aurangabad,aurangabad,maharashtra,446565,545454487,ashwini@gmail.com
samiksha,chaudhari,jalgaon,jalgaon,maharashtra,425001,56982685,samiksha@gmail.com
nikita,arora,mumbai,mumbai,maharashtra,457029,896523895,nikita@gmail.com
aaaradha,attarde,pune,pune,maharashtra,586535,655324895,tushar@gmail.com
mayur,chaudhari,mumbai,mumbai,maharashtra,478653,865445321,mayur@gmail.com
ashwini,mahajan,aurangabad,aurangabad,maharashtra,446565,545454487,ashwini@gmail.com
